Sostenimiento,steelUnitWeight,steelSetSpacing,steelSetArea,steelSetInertia,steelSetYoungModulus,steelSetPoissonRatio,steelSetSectionDepth,steelSetCompressiveStrength,steelSetTensileStrength
102x19.4,78.0,2.0,0.00247,4.7e-06,200000000.0,0.3,0.106,355000.0,355000.0
127x23.7,78.0,2.0,0.00323,8.87e-06,200000000.0,0.3,0.127,355000.0,355000.0
127x28.1,78.0,2.0,0.00357,1.091e-05,200000000.0,0.3,0.131,355000.0,355000.0
152x22.4,78.0,2.0,0.00286,1.211e-05,200000000.0,0.3,0.152,355000.0,355000.0
152x29.7,78.0,2.0,0.00379,1.723e-05,200000000.0,0.3,0.157,355000.0,355000.0
152x37.2,78.0,2.0,0.00474,2.223e-05,200000000.0,0.3,0.162,355000.0,355000.0
203x35.9,78.0,2.0,0.00457,3.446e-05,200000000.0,0.3,0.201,355000.0,355000.0
203x41.8,78.0,2.0,0.00532,4.079e-05,200000000.0,0.3,0.205,355000.0,355000.0
203x46.2,78.0,2.0,0.00589,4.579e-05,200000000.0,0.3,0.203,355000.0,355000.0
203x52.2,78.0,2.0,0.00665,5.286e-05,200000000.0,0.3,0.206,355000.0,355000.0
203x59.3,78.0,2.0,0.00755,6.077e-05,200000000.0,0.3,0.21,355000.0,355000.0
203x71.4,78.0,2.0,0.0091,7.659e-05,200000000.0,0.3,0.216,355000.0,355000.0
203x86.6,78.0,2.0,0.01103,9.49e-05,200000000.0,0.3,0.222,355000.0,355000.0
203x99.8,78.0,2.0,0.01271,0.00011321,200000000.0,0.3,0.229,355000.0,355000.0
254x49.2,78.0,2.0,0.00626,7.076e-05,200000000.0,0.3,0.247,355000.0,355000.0
254x58.2,78.0,2.0,0.00742,8.699e-05,200000000.0,0.3,0.252,355000.0,355000.0
254x67.4,78.0,2.0,0.00858,0.00010323,200000000.0,0.3,0.257,355000.0,355000.0
254x72.9,78.0,2.0,0.00929,0.00011321,200000000.0,0.3,0.253,355000.0,355000.0
254x80,78.0,2.0,0.01019,0.00012612,200000000.0,0.3,0.256,355000.0,355000.0
254x89.1,78.0,2.0,0.0129,0.000164,200000000.0,0.3,0.264,355000.0,355000.0
254x101.3,78.0,2.0,0.01458,0.00018938,200000000.0,0.3,0.269,355000.0,355000.0
254x114.5,78.0,2.0,0.01671,0.00022227,200000000.0,0.3,0.275,355000.0,355000.0
254x131.2,78.0,2.0,0.01897,0.00025931,200000000.0,0.3,0.282,355000.0,355000.0
254x148.9,78.0,2.0,0.02123,0.00029802,200000000.0,0.3,0.289,355000.0,355000.0
254x166.6,78.0,2.0,0.01007,0.0001769,200000000.0,0.3,0.306,355000.0,355000.0
305x79,78.0,2.0,0.01097,0.00019771,200000000.0,0.3,0.31,355000.0,355000.0
305x86.1,78.0,2.0,0.01232,0.00022185,200000000.0,0.3,0.308,355000.0,355000.0
305x96.7,78.0,2.0,0.01361,0.0002485,200000000.0,0.3,0.31,355000.0,355000.0
305x106.9,78.0,2.0,0.01497,0.00027554,200000000.0,0.3,0.314,355000.0,355000.0
305x117.5,78.0,2.0,0.01652,0.00030801,200000000.0,0.3,0.318,355000.0,355000.0
305x129.7,78.0,2.0,0.01819,0.00034672,200000000.0,0.3,0.323,355000.0,355000.0
305x142.8,78.0,2.0,0.02013,0.00038834,200000000.0,0.3,0.327,355000.0,355000.0
305x158,78.0,2.0,0.02278,0.00044537,200000000.0,0.3,0.333,355000.0,355000.0
305x178.8,78.0,2.0,0.02574,0.00051613,200000000.0,0.3,0.341,355000.0,355000.0
305x202.1,78.0,2.0,0.02884,0.00059521,200000000.0,0.3,0.348,355000.0,355000.0
305x226.4,78.0,2.0,0.03226,0.00068678,200000000.0,0.3,0.356,355000.0,355000.0
305x253.2,78.0,2.0,0.036,0.00078667,200000000.0,0.3,0.365,355000.0,355000.0
305x282.6,78.0,2.0,0.03987,0.00089073,200000000.0,0.3,0.374,355000.0,355000.0
305x313,78.0,2.0,0.04368,0.00100728,200000000.0,0.3,0.382,355000.0,355000.0
305x342.9,78.0,2.0,0.04781,0.00113215,200000000.0,0.3,0.391,355000.0,355000.0
